object_name,x_coordinates,y_coordinates,z_coordinates,color
Cone,"-0.803199111335956,-0.686653056804966,1.9647245705041891,1.9432877970623434,0.38060370558383116,-0.5486180667019642,-0.616207429475576,0.42303796767010793","0.8915874488303479,0.2447039111245637,-0.9273557779537751,0.15776295858714606,1.9767999224217583,-0.358769588636375,0.05684315842115173,1.041246835175433","1.1752186168517822,0.5499543814120722,1.6453231659154328,-0.890145597929939,0.8228457374653786,1.1646543419152557,0.9863314265105418,0.13185833236744715","rgba(142, 121, 123, 0.7)"
Bicycle,"1.2430484538134428,0.7535019840984725,-0.06597514266373328,-0.8426599793871893,-0.16472617554436708,1.3207074283605937,-0.566515676341095,1.3782064335813726","1.2331581087978924,1.302801184335034,0.3834955443289021,1.5126144776162334,1.9694317712101377,0.8494853562288522,1.2670898725516588,-0.5987006012418519","-0.6545171346479406,0.45339978961555394,-0.22599200428494792,0.705429304694108,0.4586975432253686,0.7427751611747326,0.5381695682137759,1.1098865795979425","rgba(21, 239, 92, 0.7)"
Car,"-0.2854477656348082,-0.631022439734798,1.050291799516684,0.3597518637244055,1.716991435375315,-0.6062979434142584,-0.7635581133422291,-0.8927784965958598","1.0629671489215835,0.2113980350101441,-0.0728272969554099,0.4999877560094539,1.1518683570992523,-0.45173072992685326,-0.9640097443409038,1.8800346762870923","0.7091832944941232,-0.4475884607274344,-0.4184967563702243,-0.7048419948596609,-0.43382272397986255,-0.9508864116477777,-0.3046855076437386,-0.23188478351794528","rgba(105, 198, 217, 0.7)"
Sphere,"1.7866473158300176,-0.1747245677009439,1.5833106069524439,0.0277566627294763,-0.8666644674845637,-0.5002257094686154,0.6703210458613169,0.7513334058234045","-0.7053375832905322,-0.8036013762440947,-0.6110277809652838,0.5661100210296746,0.715659424795922,0.9615191942090031,1.2561114885051063,0.6871443105520216","0.6643831748389448,-0.8075368805215,1.7946542994935029,1.4722366870402213,1.4760792743815703,-0.5412661665100209,1.2135507989341585,0.8539538478600641","rgba(141, 144, 244, 0.7)"
Car,"1.8655714976112039,0.04206591197301712,1.43510264219013,-0.8824506218927213,1.8060349222921843,-0.5809030864023629,0.8096791466200197,1.6664886644734818","1.4888737039850564,1.9469284225429884,-0.06056636839345153,-0.9423990232828485,0.5888792694999041,0.5402456221841692,0.22874342760045252,1.784727769461531","-0.9772802110870918,1.9582005436312877,1.8456920978479987,1.0898966074299254,1.5021953128934693,-0.22542210564251686,-0.5729908638459804,0.8999581973106281","rgba(8, 167, 210, 0.7)"
Sphere,"0.9679091262179311,1.855028271910998,0.6928368025275282,0.9995794342609778,-0.615934079087401,-0.07490740870596735,-0.09514268019305316,-0.11824782115122978","-0.5112090925806713,-0.15041125402377087,1.517297695129653,1.1232076499753703,-0.3790828982760681,-0.5849317202481465,1.3618321126330946,-0.11949264625421308","0.9198144895608533,0.05665494232537771,-0.7339415600138104,-0.15577205353451662,-0.08887874030391352,-0.3294209059082358,0.019267732898380796,-0.4917158460051644","rgba(34, 245, 108, 0.7)"
Car,"0.413137983761501,-0.6427487620567028,1.9875943819101511,0.927764163976293,0.07078664853987071,0.7753994619701672,-0.5709946702604579,0.2339620980718271","1.7287006580556947,0.0803434860996406,0.0908265195859943,1.606555192656665,0.020282285908240993,-0.869520534513502,1.4182327515947062,0.35124732754410903","1.6362574511401675,-0.13962769573074396,-0.008056560237550858,0.19814035551890385,-0.9642309092237361,-0.20759049470780533,1.3033353170627335,-0.04818168517850718","rgba(203, 131, 112, 0.7)"
Cube,"0.24094616242163802,0.2887101576871576,0.7437985511578622,-0.3453864233316659,0.6121315286356992,0.1049521801548472,1.3847604332225334,1.6747938400391997","0.01708771810340437,0.5417465424031129,1.4358634705542226,1.5356697243815978,0.23938797835821957,-0.6614883523835713,1.5000303591074902,-0.5781131764940833","1.9119783813533209,1.7624222509587164,1.0217790195838026,1.77004934373167,1.6898360659337501,-0.6204612547300358,0.6457026129644166,0.2938567651533759","rgba(175, 171, 219, 0.7)"
Bicycle,"0.6271597096820367,1.3485550868512552,-0.021776788585053053,0.4557779793378012,0.6634178374517823,0.9241731823154593,1.712647151325863,-0.24220059372994474","1.2926131651123622,-0.4343692362361653,0.45589006712210733,1.004854110374238,0.1844666239444348,0.9327998339938002,1.9204447198750483,-0.7379305325826477","-0.7033549846013724,1.5047074413887578,-0.20070376037654458,0.5694288990450542,-0.03594996811002926,0.22686308482640616,1.9527884127446162,-0.9616350749571067","rgba(43, 33, 21, 0.7)"
Cube,"1.0142691328950972,0.06730865423973942,-0.1410264510001502,0.19148392091897803,1.886099716284392,1.9454873501823617,-0.31302198227591627,-0.6848584637304156","1.2639155488209077,0.5767509811277509,0.4803207043459732,1.6631219491554665,1.4517157335043995,-0.9027544682355326,1.43654993224823,0.8833563572054257","1.5485456349272413,-0.06842253263029763,-0.830697717885852,-0.3460399459652723,0.3776209889284141,0.7413320292856174,-0.048367973321688185,1.6103926863176037","rgba(205, 103, 107, 0.7)"
Sphere,"1.1465607736281536,-0.07346675056034091,-0.13818103856333652,-0.3657981056146643,0.49819594295014413,1.860194301504928,-0.06547551731738643,0.6689766724310404","-0.8293548012888546,-0.02153587897963949,-0.42842621058346264,-0.18394202327679565,1.22122716869274,-0.4173525998828985,-0.13764308118632707,0.9058467490447906","0.36388705571426394,1.610697536329813,0.8521523376046101,0.9686949905892868,1.6402365260661513,0.827650516382223,0.29031660049165975,0.704806863206368","rgba(26, 169, 146, 0.7)"
Sphere,"-0.8681678454225918,1.3445571431266603,0.9937149767112046,0.3853892957684941,1.3784617878444525,-0.06950883126256346,0.9590586270233687,-0.46521648405887417","-0.3093392991395937,0.3722342720088343,1.2562620806141735,-0.7845472691523404,-0.12545094748103502,0.6596839165702773,-0.2191177187198604,1.5001439504024834","0.3477802910047032,-0.3367875642131295,-0.599270143520647,1.643848748856839,1.1606009513824596,0.0908512083543851,-0.9620169007867396,0.5159766997922439","rgba(92, 164, 180, 0.7)"
Cone,"0.7544495214192786,-0.7309258580602783,0.8894770986582661,1.6797185065657856,1.7544790471589913,1.492515921586795,0.9179087061720681,-0.06393283695118535","1.0241006898045106,1.4454978994343963,1.7414355721724828,1.5802537912314518,1.7739394415472578,1.5963934965957254,-0.19937248448163214,0.03573737648559616","1.420631203981726,-0.16625996737261317,1.4016104325239542,1.4495010633590617,1.8448775201808463,-0.763167700203877,1.6198658840882056,-0.1621642045387266","rgba(216, 171, 13, 0.7)"
Cone,"0.40414006589801654,-0.3891607017839084,1.2565645306866013,-0.05630405860748777,-0.3038311690374691,0.20917214507167214,1.2114974715127635,0.9666139133107721","-0.6919278377758228,1.510853315933573,-0.1578564738369843,-0.24936320650666366,0.39938580340660623,-0.5667356996528097,1.5577903252253025,1.1393605142173198","-0.8280465641025917,1.03061723536735,1.0623945119061071,0.09591351946132809,-0.1871763094240989,1.0260808238055672,-0.01839135824415028,1.189065702460336","rgba(141, 200, 0, 0.7)"
Cone,"0.08734186662679821,0.12525877161899612,-0.04875342910498648,-0.8831763915101232,1.6574355378783396,-0.25048537891550815,0.6680139696314817,1.8275216788911468","0.14483211095169368,1.5076859759979042,-0.9403394740918781,0.8565710480551822,1.5607874934424042,1.1400069598134155,0.4852665360855486,0.966752222822179","0.8162964267296173,-0.589626507207736,1.621138615438479,1.015437183263618,1.1985857491081968,-0.43868160227802433,-0.6957482070194299,0.03457179386798992","rgba(41, 128, 194, 0.7)"
Bicycle,"0.9537009457114567,-0.4989799445543357,0.11189115771126956,0.27964613989488374,1.9785188994865592,1.1241497392890212,0.14444421842011312,0.3402468844439772","1.6259023659598464,-0.9457884389588486,0.9640439895522186,-0.7586329203803773,1.1137352560821943,1.083372367986918,-0.03451293452843973,-0.002862003660990431","-0.8355338225031617,-0.5379125900976267,0.6157162255723607,0.46408137588102116,1.587138254620279,1.2936175933648828,0.7035260652056221,1.3550212595843276","rgba(87, 184, 44, 0.7)"
Car,"0.43918655625595093,0.4394191246651977,0.5565456065096266,1.098970574011827,1.3128292399814496,-0.49091771276432206,-0.28294292289813316,-0.0039447866262810605","0.532152222335263,1.6664116139967655,-0.2543244736654028,0.5502136829509552,0.4492702684175427,0.9588550243563034,-0.37876287304318157,-0.6417162554683958","0.24143221955454175,0.22862089298879074,0.045726605582660396,-0.0233475013597213,1.603855893775454,1.607515731274796,1.3294896846545479,1.1276517993225519","rgba(131, 45, 9, 0.7)"
Bicycle,"-0.2232159217623968,-0.3840201676550459,0.7626633629243593,0.5427363477200837,0.739247754600104,0.8070120388941406,-0.10341210883244889,0.4426400904336798","0.012052845303964554,-0.22309083972953014,0.5389069860300448,1.8619669875195957,0.2206578856646071,-0.8824686300430579,-0.8271049744751932,0.2266103665756627","-0.8295177767654461,0.15752941341093285,1.301434815936986,0.8575917463968097,0.29965077777297844,-0.08712811564230827,0.6507062573906013,0.5660743811599862","rgba(82, 59, 185, 0.7)"
Cube,"-0.07424139751112246,0.5072276376261535,1.802164571415723,0.5101566242688471,0.9684227652037305,0.3090451195803243,1.961817570935147,0.9545855941530506","1.0675835705846008,-0.31235570021701453,0.3790706137671176,-0.01488371715491199,-0.8210425781415276,-0.07668358358406446,-0.8845529699450353,-0.6618560106723917","0.8094835615023097,0.7496881305518688,0.7973469875542825,-0.3627582501872879,-0.26065033433539087,1.7326531167330805,-0.2688435110048434,0.7428138274630964","rgba(86, 205, 35, 0.7)"
Sphere,"-0.5655725197520121,0.33196578685062983,-0.48004585255331556,1.3125143587367845,0.679833006860493,1.2621409131686514,1.1089703653931369,1.029161143558826","-0.3013352170167255,-0.13245797535072246,-0.8875782809290773,0.7700191630349997,-0.6022688573304407,-0.1547202841407722,-0.3996726317279332,1.2816897758064871","1.6514788436029493,-0.23224653195981426,0.5510769965243036,-0.11761967482597768,-0.6041629743276385,-0.5637352361446748,-0.7005046745876773,-0.15137552727103187","rgba(18, 191, 189, 0.7)"
Sphere,"-0.96315866192203,0.5749084877354835,0.46128426862445004,1.0823967191440493,-0.6894726169203125,0.6568403000210676,1.8830525165661602,-0.5461579160670692","-0.3214719488585138,0.5677814491173319,-0.2278916245589907,-0.5915306588310753,0.13450969545367997,-0.21848910135814514,-0.1899774815034202,-0.266199844125418","0.38601236352108703,1.970480244398011,-0.6223811468840172,0.7392441953643112,1.479880672707501,1.5565580151138017,-0.7705844197832965,-0.8436590972619813","rgba(223, 236, 164, 0.7)"
Sphere,"-0.4765395113988584,1.7870570348629817,0.6841846637256632,0.5943772380858428,-0.7687998968621869,0.8297832160915442,0.5199489015324916,-0.9331612813440809","0.6675139991419559,1.277685923281965,1.6881395513360595,0.4048507651722084,0.13025296932815333,-0.18442897414683201,-0.847988331741057,1.9303385621397964","-0.10457278406316717,-0.47519241704869564,-0.3722347050555965,0.015784895342971783,1.9533962004346366,1.1454130751668057,0.4814531336537726,0.16927376432578223","rgba(246, 53, 239, 0.7)"
Cube,"1.7735818633403935,0.989393402571835,0.8126354668390319,1.0047603202011026,0.683087583191573,1.154458837183748,1.9582258027861625,0.9903995164919381","-0.7549093215479709,1.8980711716180299,0.6211306877056273,0.9600952688738278,1.9167188627144673,1.0850400840220313,-0.23016951750643555,-0.7720024670143802","0.15320778866507845,0.07950833553489,1.4529947704760433,0.5797025369805451,-0.8047572188201448,-0.2098780657578585,1.260650993590243,0.8815414230386345","rgba(89, 158, 99, 0.7)"
Bicycle,"1.9153746801987972,-0.2841433224745943,-0.9207748024853629,-0.9233157940787813,1.7521149235158022,-0.9593092667742228,1.4980180900109117,0.3129032358288053","-0.49084186311444244,1.09767224486429,0.4376673075316462,0.34667589142068134,-0.17337352841077214,-0.928350208769393,0.15631777089896626,-0.4958279332848138","0.3794602243305545,1.7376836533496602,1.496402714356226,1.0301900516647855,0.46509974456802694,0.9499650843029466,1.0157374263606922,0.45129432616947396","rgba(32, 111, 91, 0.7)"
Bicycle,"0.15794766343387545,-0.17504842397121145,0.6293436826791916,1.9286493345039184,-0.9174985550298919,1.782751951645671,1.4459202283759622,-0.9814232709391254","0.07246705733137349,1.1781972401786547,0.6995801270672048,-0.14360473304899912,0.9711356502424522,1.8842058561519845,-0.12431474615451399,0.2909045572315372","1.563991917951531,0.010617843748839784,0.5008420416234192,0.38377930521043124,1.7288664730725865,-0.4634286924894252,0.3492368598456077,0.824992018394904","rgba(247, 101, 244, 0.7)"
Cone,"0.7393833060553237,0.3882920417270639,-0.3103120579740509,1.8848626213954867,1.6945819558451714,1.754316881843954,0.3702623112228096,1.0868967040922075","1.6089299157518981,-0.5379689818468869,-0.8539535696896343,-0.048521028871950644,1.644729620110247,-0.891490391835847,0.6900913490088678,1.2367702502610132","0.12449084278013656,-0.3136892319613859,1.8429259718290187,1.442225058290135,-0.8398044117817439,0.0014247111655147915,1.0074330950313963,0.6204815520551537","rgba(242, 154, 231, 0.7)"
Cube,"0.632611917943346,-0.27448613600321603,0.783576353229237,1.906611332663533,1.286757043348889,1.2424468542974263,-0.24474688120557686,1.804976625345943","-0.16735348781646409,-0.8066050596360085,1.0962215026617388,0.2670269378610588,-0.16489774229615317,-0.1210889082608817,1.9517768201296146,0.7135246074531809","1.9856737480384936,1.649671306790848,0.7544676634278686,1.4145484355832023,-0.1835193943208786,0.4647190803815451,-0.5151159623830991,0.3949169946593414","rgba(191, 243, 231, 0.7)"
Cube,"-0.7614817530361644,1.7405866579414608,-0.08429047073763274,0.867748756412194,-0.3060577865778463,-0.6458608025575115,0.15282990045253175,1.5009361170784512","0.811121571239303,0.5995675471044115,1.1273358029081417,-0.40777463546017245,1.9188307901168682,1.7209969492526067,-0.020631461669257445,-0.17487028345110733","0.44925360188344676,-0.7655050659812324,0.5582286607336608,-0.4132036004249422,1.7356727469331519,1.6206786867291045,1.6050958496129,1.7746566498279126","rgba(202, 185, 190, 0.7)"
Cone,"1.4584996886716919,1.7308701015248635,1.0900695180148712,-0.4010657975475974,1.1063942564869578,1.8162171906143052,0.8805107043935383,0.9254486426505988","0.6874282635059599,0.5688504522495439,0.29386018803827874,1.4552252990368277,0.31802530238974214,-0.4556481000061481,-0.49401228407742404,-0.6552588567677339","0.9833481298030271,1.0819132478611984,0.10968990117414323,0.7931047702546934,-0.6758123286858023,0.46203731486720967,1.5318804536346695,-0.4233746514570942","rgba(68, 16, 185, 0.7)"
Sphere,"0.024772687549129646,-0.6019189181447183,1.7876095029695636,1.0407297215520157,0.5831313184433842,0.10691293721549422,1.449262203190326,-0.36976816691958947","0.29399553349704455,1.2343723530827884,0.15187983826572027,1.0743773393424183,-0.551859882958904,-0.09035297058227343,0.1918835585833416,1.3454744997118806","1.9631725476630462,1.0664025637703407,1.3203492680399798,1.2484992922244351,1.7753273099885436,1.6153184440192718,0.8677769606738293,1.8356590185636072","rgba(80, 232, 79, 0.7)"
Cone,"-0.9516234915819887,0.9453829570329906,1.0054850486057516,1.651231553742619,0.05178924061517898,0.04407939491752666,0.7265342838444204,1.611886508124115","-0.7898852128221739,0.6189346734350556,1.0599666314017995,1.1808832581623774,1.1301057089361684,0.11395428408202912,1.9038138881030084,0.5763512403726581","-0.5333702824445103,-0.42582303321401105,1.189145805784963,-0.31259175205230993,0.5884690888583441,0.07078733751447475,0.4802630364525713,-0.5802310668811392","rgba(164, 112, 138, 0.7)"
Cone,"1.1357942960386023,0.758936284040028,-0.4371086507069222,0.23065931606613121,-0.42202369471168577,0.3523556812094033,1.0072270864233692,1.296982992628931","0.37770803656191543,0.10760591770559014,1.4129119480340346,-0.37560074113248154,1.2992942126214793,0.5271830948893936,1.7118290268764844,-0.4765264958115245","1.4995147568463159,0.14029950921398093,1.600436475180938,1.9123529037144356,1.2897410204526847,-0.10293349158789022,1.8791868208214781,1.8299470019985709","rgba(141, 191, 62, 0.7)"
